Intervals:                               Run 1 Increments 0.0   Run 1 Increments 50.0   Run 1 Increments 100.0   Run 1 Increments 150.0   Run 1 Increments 200.0   Run 1 Increments 250.0   Run 1 Totals       
Total Deaths                            0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average Total Deaths                    0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Total Births                            0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average Total Births                    0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Active Cells                            100.0                  100.0                   100.0                    100.0                    100.0                    100.0                    600.0               
Average Active Cells                    1.0                    1.0                     1.0                      1.0                      1.0                      1.0                      6.0                 
Increments                              0.0                    50.0                    100.0                    150.0                    200.0                    250.0                    750.0               
Average Increments                      0.0                    0.5                     1.0                      1.5                      2.0                      2.5                      7.5                 
Jumps                                   1.0                    101.0                   201.0                    301.0                    401.0                    501.0                    1506.0              
Average Jumps                           0.01                   1.01                    2.01                     3.01                     4.01                     5.01                     15.059999999999999  
Distance from start                     200.32014483592837     1831.3365421300186      2543.4995835824107       3173.2428645516407       3531.1985111727145       3883.9428480934334       15163.540494366145  
Average Distance from start             2.0032014483592837     18.313365421300187      25.434995835824108       31.732428645516407       35.31198511172715        38.83942848093434        151.63540494366148  
Speed                                   297.3216443846089      297.3216443846089       297.3216443846089        297.3216443846089        297.3216443846089        297.3216443846089        1783.9298663076531  
Average Speed                           2.9732164438460886     2.9732164438460886      2.9732164438460886       2.9732164438460886       2.9732164438460886       2.9732164438460886       17.83929866307653   
Total Nearest                           0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average Total Nearest                   0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Closest                                 0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average Closest                         0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Furthest                                0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average Furthest                        0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
total distance travelled                594.6432887692177      29732.164438460888      29732.164438460888       29732.164438460888       29732.164438460888       29732.164438460888       149255.46548107368  
Average total distance travelled        5.946432887692177      297.3216443846089       297.3216443846089        297.3216443846089        297.3216443846089        297.3216443846089        1492.5546548107363  
total collisions                        0.0                    77.0                    80.0                     58.0                     74.0                     65.0                     354.0               
Average total collisions                0.0                    0.77                    0.8                      0.58                     0.74                     0.65                     3.5399999999999996  
total turns                             0.0                    3572.0                  3701.0                   3730.0                   3750.0                   3718.0                   18471.0             
Average total turns                     0.0                    35.72                   37.01                    37.3                     37.5                     37.18                    184.70999999999998  
total bez chosen                        0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average total bez chosen                0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
collision sector One                    0.0                    12.0                    14.0                     21.0                     19.0                     9.0                      75.0                
Average collision sector One            0.0                    0.12                    0.14                     0.21                     0.19                     0.09                     0.7499999999999999  
collision sector Two                    0.0                    23.0                    23.0                     7.0                      9.0                      11.0                     73.0                
Average collision sector Two            0.0                    0.23                    0.23                     0.07                     0.09                     0.11                     0.73                
collision sector Three                  0.0                    17.0                    24.0                     24.0                     13.0                     24.0                     102.0               
Average collision sector Three          0.0                    0.17                    0.24                     0.24                     0.13                     0.24                     1.02                
collision sector Four                   0.0                    25.0                    19.0                     6.0                      33.0                     21.0                     104.0               
Average collision sector Four           0.0                    0.25                    0.19                     0.06                     0.33                     0.21                     1.04                
