Runs:                                    Run 1 50.0             Run 2 50.0             Run 2 Totals         
Total Deaths                            0.0                    0.0                    0.0                   
Average Total Deaths                    0.0                    0.0                    0.0                   
Total Births                            0.0                    0.0                    0.0                   
Average Total Births                    0.0                    0.0                    0.0                   
Active Cells                            100.0                  100.0                  200.0                 
Average Active Cells                    1.0                    1.0                    2.0                   
Increments                              50.0                   50.0                   100.0                 
Average Increments                      0.5                    0.5                    1.0                   
Jumps                                   101.0                  101.0                  202.0                 
Average Jumps                           1.01                   1.01                   2.02                  
Distance from start                     1831.3365421300186     1904.7645811501884     3736.101123280207     
Average Distance from start             18.313365421300187     19.047645811501884     37.36101123280207     
Speed                                   297.3216443846089      315.45603517047005     612.777679555079      
Average Speed                           2.9732164438460886     3.1545603517047005     6.127776795550789     
Total Nearest                           0.0                    0.0                    0.0                   
Average Total Nearest                   0.0                    0.0                    0.0                   
Closest                                 0.0                    0.0                    0.0                   
Average Closest                         0.0                    0.0                    0.0                   
Furthest                                0.0                    0.0                    0.0                   
Average Furthest                        0.0                    0.0                    0.0                   
total distance travelled                29732.164438460888     31545.603517047006     61277.767955507894    
Average total distance travelled        297.3216443846089      315.45603517047005     612.777679555079      
total collisions                        77.0                   96.0                   173.0                 
Average total collisions                0.77                   0.96                   1.73                  
total turns                             3572.0                 3587.0                 7159.0                
Average total turns                     35.72                  35.87                  71.59                 
total bez chosen                        0.0                    0.0                    0.0                   
Average total bez chosen                0.0                    0.0                    0.0                   
collision sector One                    12.0                   24.0                   36.0                  
Average collision sector One            0.12                   0.24                   0.36                  
collision sector Two                    23.0                   28.0                   51.0                  
Average collision sector Two            0.23                   0.28                   0.51                  
collision sector Three                  17.0                   20.0                   37.0                  
Average collision sector Three          0.17                   0.2                    0.37                  
collision sector Four                   25.0                   24.0                   49.0                  
Average collision sector Four           0.25                   0.24                   0.49                  
collision sector Five                   12.0                   24.0                   36.0                  
Average collision sector Five           0.12                   0.24                   0.36                  
collision sector Six                    23.0                   28.0                   51.0                  
Average collision sector Six            0.23                   0.28                   0.51                  
collision sector Seven                  17.0                   20.0                   37.0                  
Average collision sector Seven          0.17                   0.2                    0.37                  
collision sector Eight                  25.0                   24.0                   49.0                  
Average collision sector Eight          0.25                   0.24                   0.49                  
bounce sect One                         0.0                    0.0                    0.0                   
Average bounce sect One                 0.0                    0.0                    0.0                   
bounce sect Two                         0.0                    0.0                    0.0                   
Average bounce sect Two                 0.0                    0.0                    0.0                   
bounce sect Three                       0.0                    0.0                    0.0                   
Average bounce sect Three               0.0                    0.0                    0.0                   
bounce sect Four                        0.0                    0.0                    0.0                   
Average bounce sect Four                0.0                    0.0                    0.0                   
bounce sect Five                        0.0                    0.0                    0.0                   
Average bounce sect Five                0.0                    0.0                    0.0                   
bounce sect Six                         0.0                    0.0                    0.0                   
Average bounce sect Six                 0.0                    0.0                    0.0                   
bounce sect Seven                       0.0                    0.0                    0.0                   
Average bounce sect Seven               0.0                    0.0                    0.0                   
bounce sect Eight                       0.0                    0.0                    0.0                   
Average bounce sect Eight               0.0                    0.0                    0.0                   
chosen sect One                         796.0                  808.0                  1604.0                
Average chosen sect One                 7.96                   8.08                   16.04                 
chosen sect Two                         583.0                  582.0                  1165.0                
Average chosen sect Two                 5.83                   5.82                   11.65                 
chosen sect Three                       372.0                  397.0                  769.0                 
Average chosen sect Three               3.72                   3.97                   7.69                  
chosen sect Four                        355.0                  340.0                  695.0                 
Average chosen sect Four                3.55                   3.4                    6.949999999999999     
chosen sect Five                        366.0                  422.0                  788.0                 
Average chosen sect Five                3.66                   4.22                   7.88                  
chosen sect Six                         360.0                  345.0                  705.0                 
Average chosen sect Six                 3.6                    3.45                   7.050000000000001     
chosen sect Seven                       370.0                  343.0                  713.0                 
Average chosen sect Seven               3.7                    3.43                   7.130000000000001     
chosen sect Eight                       524.0                  542.0                  1066.0                
Average chosen sect Eight               5.24                   5.42                   10.66                 
chosen sect Nine                        0.0                    0.0                    0.0                   
Average chosen sect Nine                0.0                    0.0                    0.0                   
chosen sect Ten                         0.0                    0.0                    0.0                   
Average chosen sect Ten                 0.0                    0.0                    0.0                   
chosen sect Eleven                      0.0                    0.0                    0.0                   
Average chosen sect Eleven              0.0                    0.0                    0.0                   
chosen sect Twelve                      0.0                    0.0                    0.0                   
Average chosen sect Twelve              0.0                    0.0                    0.0                   
