Runs:                                    Run 1 100.0            Run 2 100.0            Run 2 Totals          
Total Deaths                            0.0                    0.0                    0.0                    
Average Total Deaths                    0.0                    0.0                    0.0                    
Total Births                            0.0                    0.0                    0.0                    
Average Total Births                    0.0                    0.0                    0.0                    
Active Cells                            100.0                  100.0                  200.0                  
Average Active Cells                    1.0                    1.0                    2.0                    
Increments                              100.0                  100.0                  200.0                  
Average Increments                      1.0                    1.0                    2.0                    
Jumps                                   201.0                  201.0                  402.0                  
Average Jumps                           2.01                   2.01                   4.02                   
Distance from start                     2543.4995835824107     2559.568944049439      5103.068527631849      
Average Distance from start             25.434995835824108     25.59568944049439      51.03068527631849      
Speed                                   297.3216443846089      315.45603517047005     612.777679555079       
Average Speed                           2.9732164438460886     3.1545603517047005     6.127776795550789      
Total Nearest                           0.0                    0.0                    0.0                    
Average Total Nearest                   0.0                    0.0                    0.0                    
Closest                                 0.0                    0.0                    0.0                    
Average Closest                         0.0                    0.0                    0.0                    
Furthest                                0.0                    0.0                    0.0                    
Average Furthest                        0.0                    0.0                    0.0                    
total distance travelled                29732.164438460888     31545.603517047006     61277.767955507894     
Average total distance travelled        297.3216443846089      315.45603517047005     612.777679555079       
total collisions                        80.0                   71.0                   151.0                  
Average total collisions                0.8                    0.71                   1.51                   
total turns                             3701.0                 3787.0                 7488.0                 
Average total turns                     37.01                  37.87                  74.88                  
total bez chosen                        0.0                    0.0                    0.0                    
Average total bez chosen                0.0                    0.0                    0.0                    
collision sector One                    14.0                   19.0                   33.0                   
Average collision sector One            0.14                   0.19                   0.33                   
collision sector Two                    23.0                   12.0                   35.0                   
Average collision sector Two            0.23                   0.12                   0.35                   
collision sector Three                  24.0                   23.0                   47.0                   
Average collision sector Three          0.24                   0.23                   0.47                   
collision sector Four                   19.0                   17.0                   36.0                   
Average collision sector Four           0.19                   0.17                   0.36                   
collision sector Five                   14.0                   19.0                   33.0                   
Average collision sector Five           0.14                   0.19                   0.33                   
collision sector Six                    23.0                   12.0                   35.0                   
Average collision sector Six            0.23                   0.12                   0.35                   
collision sector Seven                  24.0                   23.0                   47.0                   
Average collision sector Seven          0.24                   0.23                   0.47                   
collision sector Eight                  19.0                   17.0                   36.0                   
Average collision sector Eight          0.19                   0.17                   0.36                   
bounce sect One                         0.0                    0.0                    0.0                    
Average bounce sect One                 0.0                    0.0                    0.0                    
bounce sect Two                         0.0                    0.0                    0.0                    
Average bounce sect Two                 0.0                    0.0                    0.0                    
bounce sect Three                       0.0                    0.0                    0.0                    
Average bounce sect Three               0.0                    0.0                    0.0                    
bounce sect Four                        0.0                    0.0                    0.0                    
Average bounce sect Four                0.0                    0.0                    0.0                    
bounce sect Five                        0.0                    0.0                    0.0                    
Average bounce sect Five                0.0                    0.0                    0.0                    
bounce sect Six                         0.0                    0.0                    0.0                    
Average bounce sect Six                 0.0                    0.0                    0.0                    
bounce sect Seven                       0.0                    0.0                    0.0                    
Average bounce sect Seven               0.0                    0.0                    0.0                    
bounce sect Eight                       0.0                    0.0                    0.0                    
Average bounce sect Eight               0.0                    0.0                    0.0                    
chosen sect One                         777.0                  874.0                  1651.0                 
Average chosen sect One                 7.77                   8.74                   16.509999999999998     
chosen sect Two                         561.0                  551.0                  1112.0                 
Average chosen sect Two                 5.61                   5.51                   11.120000000000001     
chosen sect Three                       407.0                  390.0                  797.0                  
Average chosen sect Three               4.07                   3.9                    7.970000000000001      
chosen sect Four                        370.0                  361.0                  731.0                  
Average chosen sect Four                3.7                    3.61                   7.3100000000000005     
chosen sect Five                        370.0                  378.0                  748.0                  
Average chosen sect Five                3.7                    3.78                   7.48                   
chosen sect Six                         377.0                  375.0                  752.0                  
Average chosen sect Six                 3.77                   3.75                   7.52                   
chosen sect Seven                       351.0                  377.0                  728.0                  
Average chosen sect Seven               3.51                   3.77                   7.279999999999999      
chosen sect Eight                       572.0                  546.0                  1118.0                 
Average chosen sect Eight               5.72                   5.46                   11.18                  
chosen sect Nine                        0.0                    0.0                    0.0                    
Average chosen sect Nine                0.0                    0.0                    0.0                    
chosen sect Ten                         0.0                    0.0                    0.0                    
Average chosen sect Ten                 0.0                    0.0                    0.0                    
chosen sect Eleven                      0.0                    0.0                    0.0                    
Average chosen sect Eleven              0.0                    0.0                    0.0                    
chosen sect Twelve                      0.0                    0.0                    0.0                    
Average chosen sect Twelve              0.0                    0.0                    0.0                    
