Runs:                                    Run 1 150.0           Run 2 150.0            Run 2 Totals         
Total Deaths                            0.0                   0.0                    0.0                   
Average Total Deaths                    0.0                   0.0                    0.0                   
Total Births                            0.0                   0.0                    0.0                   
Average Total Births                    0.0                   0.0                    0.0                   
Active Cells                            100.0                 100.0                  200.0                 
Average Active Cells                    1.0                   1.0                    2.0                   
Increments                              150.0                 150.0                  300.0                 
Average Increments                      1.5                   1.5                    3.0                   
Jumps                                   301.0                 301.0                  602.0                 
Average Jumps                           3.01                  3.01                   6.02                  
Distance from start                     3173.2428645516407    3017.223906921817      6190.466771473458     
Average Distance from start             31.732428645516407    30.172239069218172     61.90466771473458     
Speed                                   297.3216443846089     315.45603517047005     612.777679555079      
Average Speed                           2.9732164438460886    3.1545603517047005     6.127776795550789     
Total Nearest                           0.0                   0.0                    0.0                   
Average Total Nearest                   0.0                   0.0                    0.0                   
Closest                                 0.0                   0.0                    0.0                   
Average Closest                         0.0                   0.0                    0.0                   
Furthest                                0.0                   0.0                    0.0                   
Average Furthest                        0.0                   0.0                    0.0                   
total distance travelled                29732.164438460888    31545.603517047006     61277.767955507894    
Average total distance travelled        297.3216443846089     315.45603517047005     612.777679555079      
total collisions                        58.0                  93.0                   151.0                 
Average total collisions                0.58                  0.93                   1.51                  
total turns                             3730.0                3737.0                 7467.0                
Average total turns                     37.3                  37.37                  74.66999999999999     
total bez chosen                        0.0                   0.0                    0.0                   
Average total bez chosen                0.0                   0.0                    0.0                   
collision sector One                    21.0                  27.0                   48.0                  
Average collision sector One            0.21                  0.27                   0.48                  
collision sector Two                    7.0                   31.0                   38.0                  
Average collision sector Two            0.07                  0.31                   0.38                  
collision sector Three                  24.0                  21.0                   45.0                  
Average collision sector Three          0.24                  0.21                   0.44999999999999996   
collision sector Four                   6.0                   14.0                   20.0                  
Average collision sector Four           0.06                  0.14                   0.2                   
collision sector Five                   21.0                  27.0                   48.0                  
Average collision sector Five           0.21                  0.27                   0.48                  
collision sector Six                    7.0                   31.0                   38.0                  
Average collision sector Six            0.07                  0.31                   0.38                  
collision sector Seven                  24.0                  21.0                   45.0                  
Average collision sector Seven          0.24                  0.21                   0.44999999999999996   
collision sector Eight                  6.0                   14.0                   20.0                  
Average collision sector Eight          0.06                  0.14                   0.2                   
bounce sect One                         0.0                   0.0                    0.0                   
Average bounce sect One                 0.0                   0.0                    0.0                   
bounce sect Two                         0.0                   0.0                    0.0                   
Average bounce sect Two                 0.0                   0.0                    0.0                   
bounce sect Three                       0.0                   0.0                    0.0                   
Average bounce sect Three               0.0                   0.0                    0.0                   
bounce sect Four                        0.0                   0.0                    0.0                   
Average bounce sect Four                0.0                   0.0                    0.0                   
bounce sect Five                        0.0                   0.0                    0.0                   
Average bounce sect Five                0.0                   0.0                    0.0                   
bounce sect Six                         0.0                   0.0                    0.0                   
Average bounce sect Six                 0.0                   0.0                    0.0                   
bounce sect Seven                       0.0                   0.0                    0.0                   
Average bounce sect Seven               0.0                   0.0                    0.0                   
bounce sect Eight                       0.0                   0.0                    0.0                   
Average bounce sect Eight               0.0                   0.0                    0.0                   
chosen sect One                         789.0                 849.0                  1638.0                
Average chosen sect One                 7.89                  8.49                   16.38                 
chosen sect Two                         578.0                 501.0                  1079.0                
Average chosen sect Two                 5.78                  5.01                   10.79                 
chosen sect Three                       397.0                 417.0                  814.0                 
Average chosen sect Three               3.97                  4.17                   8.14                  
chosen sect Four                        384.0                 374.0                  758.0                 
Average chosen sect Four                3.84                  3.74                   7.58                  
chosen sect Five                        378.0                 357.0                  735.0                 
Average chosen sect Five                3.78                  3.57                   7.35                  
chosen sect Six                         366.0                 358.0                  724.0                 
Average chosen sect Six                 3.66                  3.58                   7.24                  
chosen sect Seven                       371.0                 416.0                  787.0                 
Average chosen sect Seven               3.71                  4.16                   7.87                  
chosen sect Eight                       506.0                 569.0                  1075.0                
Average chosen sect Eight               5.06                  5.69                   10.75                 
chosen sect Nine                        0.0                   0.0                    0.0                   
Average chosen sect Nine                0.0                   0.0                    0.0                   
chosen sect Ten                         0.0                   0.0                    0.0                   
Average chosen sect Ten                 0.0                   0.0                    0.0                   
chosen sect Eleven                      0.0                   0.0                    0.0                   
Average chosen sect Eleven              0.0                   0.0                    0.0                   
chosen sect Twelve                      0.0                   0.0                    0.0                   
Average chosen sect Twelve              0.0                   0.0                    0.0                   
