Runs:                                    Run 1 250.0            Run 2 250.0           Run 2 Totals         
Total Deaths                            0.0                    0.0                   0.0                   
Average Total Deaths                    0.0                    0.0                   0.0                   
Total Births                            0.0                    0.0                   0.0                   
Average Total Births                    0.0                    0.0                   0.0                   
Active Cells                            100.0                  100.0                 200.0                 
Average Active Cells                    1.0                    1.0                   2.0                   
Increments                              250.0                  250.0                 500.0                 
Average Increments                      2.5                    2.5                   5.0                   
Jumps                                   501.0                  501.0                 1002.0                
Average Jumps                           5.01                   5.01                  10.02                 
Distance from start                     3883.9428480934334     4246.468766689032     8130.411614782466     
Average Distance from start             38.83942848093434      42.46468766689032     81.30411614782466     
Speed                                   297.3216443846089      315.45603517047005    612.777679555079      
Average Speed                           2.9732164438460886     3.1545603517047005    6.127776795550789     
Total Nearest                           0.0                    0.0                   0.0                   
Average Total Nearest                   0.0                    0.0                   0.0                   
Closest                                 0.0                    0.0                   0.0                   
Average Closest                         0.0                    0.0                   0.0                   
Furthest                                0.0                    0.0                   0.0                   
Average Furthest                        0.0                    0.0                   0.0                   
total distance travelled                29732.164438460888     31545.603517047006    61277.767955507894    
Average total distance travelled        297.3216443846089      315.45603517047005    612.777679555079      
total collisions                        65.0                   76.0                  141.0                 
Average total collisions                0.65                   0.76                  1.4100000000000001    
total turns                             3718.0                 3708.0                7426.0                
Average total turns                     37.18                  37.08                 74.25999999999999     
total bez chosen                        0.0                    0.0                   0.0                   
Average total bez chosen                0.0                    0.0                   0.0                   
collision sector One                    9.0                    11.0                  20.0                  
Average collision sector One            0.09                   0.11                  0.2                   
collision sector Two                    11.0                   18.0                  29.0                  
Average collision sector Two            0.11                   0.18                  0.29                  
collision sector Three                  24.0                   34.0                  58.0                  
Average collision sector Three          0.24                   0.34                  0.5800000000000001    
collision sector Four                   21.0                   13.0                  34.0                  
Average collision sector Four           0.21                   0.13                  0.33999999999999997   
collision sector Five                   9.0                    11.0                  20.0                  
Average collision sector Five           0.09                   0.11                  0.2                   
collision sector Six                    11.0                   18.0                  29.0                  
Average collision sector Six            0.11                   0.18                  0.29                  
collision sector Seven                  24.0                   34.0                  58.0                  
Average collision sector Seven          0.24                   0.34                  0.5800000000000001    
collision sector Eight                  21.0                   13.0                  34.0                  
Average collision sector Eight          0.21                   0.13                  0.33999999999999997   
bounce sect One                         0.0                    0.0                   0.0                   
Average bounce sect One                 0.0                    0.0                   0.0                   
bounce sect Two                         0.0                    0.0                   0.0                   
Average bounce sect Two                 0.0                    0.0                   0.0                   
bounce sect Three                       0.0                    0.0                   0.0                   
Average bounce sect Three               0.0                    0.0                   0.0                   
bounce sect Four                        0.0                    0.0                   0.0                   
Average bounce sect Four                0.0                    0.0                   0.0                   
bounce sect Five                        0.0                    0.0                   0.0                   
Average bounce sect Five                0.0                    0.0                   0.0                   
bounce sect Six                         0.0                    0.0                   0.0                   
Average bounce sect Six                 0.0                    0.0                   0.0                   
bounce sect Seven                       0.0                    0.0                   0.0                   
Average bounce sect Seven               0.0                    0.0                   0.0                   
bounce sect Eight                       0.0                    0.0                   0.0                   
Average bounce sect Eight               0.0                    0.0                   0.0                   
chosen sect One                         766.0                  851.0                 1617.0                
Average chosen sect One                 7.66                   8.51                  16.17                 
chosen sect Two                         582.0                  552.0                 1134.0                
Average chosen sect Two                 5.82                   5.52                  11.34                 
chosen sect Three                       409.0                  408.0                 817.0                 
Average chosen sect Three               4.09                   4.08                  8.17                  
chosen sect Four                        347.0                  356.0                 703.0                 
Average chosen sect Four                3.47                   3.56                  7.03                  
chosen sect Five                        417.0                  394.0                 811.0                 
Average chosen sect Five                4.17                   3.94                  8.11                  
chosen sect Six                         379.0                  335.0                 714.0                 
Average chosen sect Six                 3.79                   3.35                  7.140000000000001     
chosen sect Seven                       374.0                  359.0                 733.0                 
Average chosen sect Seven               3.74                   3.59                  7.33                  
chosen sect Eight                       495.0                  535.0                 1030.0                
Average chosen sect Eight               4.95                   5.35                  10.3                  
chosen sect Nine                        0.0                    0.0                   0.0                   
Average chosen sect Nine                0.0                    0.0                   0.0                   
chosen sect Ten                         0.0                    0.0                   0.0                   
Average chosen sect Ten                 0.0                    0.0                   0.0                   
chosen sect Eleven                      0.0                    0.0                   0.0                   
Average chosen sect Eleven              0.0                    0.0                   0.0                   
chosen sect Twelve                      0.0                    0.0                   0.0                   
Average chosen sect Twelve              0.0                    0.0                   0.0                   
